排名,代币,名称,价格(CNY),可兑换EACO数量,价格(USDT),市值(CNH)
1,BTC,比特币,848901,6600000000000,122500,1691000000000
2,ETH,以太坊,30446,236700000000,4395,367000000000
3,XRP,瑞波币,23.42,182100,3.38,139000000000
4,USDT,泰达币,7.18,55800,1.00,118000000000
5,BNB,币安币,5842,45400000,843,81400000000
6,SOL,Solana,1320,10300000,191,71370000000
7,USDC,USD Coin,7.18,55800,1.00,46900000000
8,DOGE,狗狗币,1.73,13400,0.25,26100000000
9,TRX,波场,2.45,19000,0.35,23170000000
10,ADA,艾达币,5.93,46100,0.86,21560000000
11,SHIB,Shiba Inu,0.00009976,0.78,0.000014,5890000000
12,AVAX,Avalanche,174.92,1360000,25.25,7390000000
13,DOT,Polkadot,29.73,231000,4.29,4530000000
14,LINK,Chainlink,160.28,1250000,23.13,10870000000
15,WBTC,Wrapped Bitcoin,849679,6600000000000,122600,10800000000
16,LTC,莱特币,882.85,6860000,127.40,6730000000
17,TON,Toncoin,24.49,190000,3.53,6280000000
18,DAI,Dai,7.18,55800,1.00,2740000000
19,MATIC,Polygon,0.70,5400,0.10,4530000000
20,PEPE,Pepe,0.00008935,0.69,0.000013,3760000000
21,UNI,Uniswap,78.68,611000,11.30,4720000000
22,ATOM,Cosmos Hub,34.24,266000,4.92,1580000000
23,XMR,门罗币,2019,15700000,292,3720000000
24,OKB,OK币,337.65,2630000,48.70,2020000000
25,FIL,Filecoin,18.96,147000,2.74,1290000000
26,HBAR,Hedera,1.93,15000,0.28,8200000000
27,KAS,Kaspa,0.6914,5370,0.10,1820000000
28,CRO,Cronos,1.14,8860,0.16,3680000000
29,VET,唯链,0.1825,1420,0.026,1570000000
30,MNT,Mantle,7.51,58400,1.08,2530000000
31,RNDR,Render,28.84,224000,4.15,1490000000
32,IMX,Immutable X,12.34,95900,1.78,1180000000
33,ARB,Arbitrum,3.39,26300,0.49,1740000000
34,XLM,恒星币,3.26,25300,0.47,1020000000
35,THETA,Theta Network,8.21,63800,1.18,820000000
36,FTM,Fantom,1.24,9640,0.18,430000000
37,APT,Aptos,34.69,269000,4.98,2330000000
38,OP,Optimism,5.70,44300,0.82,1000000000
39,INJ,Injective,104.49,812000,15.03,1020000000
40,STX,Stacks,5.50,42700,0.79,980000000
41,ETC,以太经典,169.16,1310000,24.25,2590000000
42,NEAR,NEAR Protocol,20.30,157000,2.91,2520000000
43,TWT,Trust Wallet Token,9.45,73400,1.36,390000000
44,XTZ,Tezos,6.78,52700,0.98,640000000
45,ALGO,Algorand,1.97,15300,0.28,1710000000
46,EGLD,Elrond,215.67,1680000,31.07,580000000
47,QNT,Quant,834.60,6490000,120.10,1210000000
48,FLOW,Flow,6.12,47600,0.88,610000000
49,GRT,The Graph,1.23,9560,0.18,1160000000
50,SAND,The Sandbox,2.34,18200,0.34,490000000
51,AXS,Axie Infinity,38.21,297000,5.50,510000000
52,CHZ,Chiliz,0.56,4350,0.081,490000000
53,SNX,Synthetix,12.45,96800,1.79,400000000
54,GALA,Gala,0.0987,767,0.014,290000000
55,MANA,Decentraland,2.45,19000,0.35,450000000
56,NEO,Neo,78.34,609000,11.28,550000000
57,KAVA,Kava,3.45,26800,0.50,370000000
58,PAXG,PAX Gold,5142,40000000,740,100000000
59,BSV,Bitcoin SV,412.89,3210000,59.40,810000000
60,EOS,EOS,3.21,24900,0.46,360000000
61,IOTA,IOTA,1.23,9560,0.18,380000000
62,ENJ,Enjin Coin,1.45,11200,0.21,140000000
63,ZEC,Zcash,156.78,1220000,22.56,250000000
64,ONE,Harmony,0.0789,613,0.011,100000000
65,BAT,Basic Attention Token,1.23,9560,0.18,180000000
66,DASH,Dash,189.45,1470000,27.25,210000000
67,COMP,Compound,342.56,2660000,49.30,230000000
68,XEM,NEM,0.2345,1820,0.034,210000000
69,WAVES,Waves,12.34,95900,1.78,130000000
70,HOT,Holo,0.00456,35,0.00066,80000000
71,ZIL,Zilliqa,0.0789,613,0.011,130000000
72,OMG,OMG Network,3.45,26800,0.50,40000000
73,ICX,ICON,1.23,9560,0.18,110000000
74,SC,Siacoin,0.00345,26,0.00050,10000000
75,ANKR,Ankr,0.2345,1820,0.034,230000000
76,NANO,Nano,5.67,44100,0.82,70000000
77,RVN,Ravencoin,0.0789,613,0.011,90000000
78,IOST,IOST,0.0123,95,0.0018,20000000
79,HNT,Helium,34.56,268000,4.97,430000000
80,OCEAN,Ocean Protocol,1.23,9560,0.18,70000000
81,CELO,Celo,2.34,18200,0.34,110000000
82,QTUM,Qtum,12.34,95900,1.78,120000000
83,TFUEL,Theta Fuel,0.0789,613,0.011,40000000
84,ZRX,0x,1.23,9560,0.18,100000000
85,YFI,yearn.finance,34567,268000000,4970,120000000
86,UMA,UMA,12.34,95900,1.78,80000000
87,BNT,Bancor,3.45,26800,0.50,30000000
88,DCR,Decred,78.90,613000,11.35,100000000
89,REP,Augur,12.34,95900,1.78,10000000
90,LSK,Lisk,5.67,44100,0.82,60000000
91,KNC,Kyber Network,3.45,26800,0.50,50000000
92,NMR,Numeraire,123.45,960000,17.76,80000000
93,ANT,Aragon,12.34,95900,1.78,10000000
94,BAL,Balancer,34.56,268000,4.97,180000000
95,CVC,Civic,1.23,9560,0.18,80000000
96,RLC,iExec RLC,12.34,95900,1.78,80000000
97,STORJ,Storj,3.45,26800,0.50,120000000
98,OXT,Orchid,0.2345,1820,0.034,20000000
99,FET,Fetch.ai,1.23,9560,0.18,100000000
100,CKB,Nervos Network,0.0123,95,0.0018,40000000
